"CONTADOR","TORRE","HELICE","PE","I_GRAUS","L_m","NSPTponta","T_kNm"
12,"TORRE 226-1_D1SM",6,"D5",18,11.03,14,14.78
1,"TORRE 226-1_D1SM",6,"D6",18,1,0,0
2,"TORRE 226-1_D1SM",6,"D6",18,2,3,5.29
3,"TORRE 226-1_D1SM",6,"D6",18,3,4,5.97
4,"TORRE 226-1_D1SM",6,"D6",18,4,5,7.32
5,"TORRE 226-1_D1SM",6,"D6",18,5,7,8.95
6,"TORRE 226-1_D1SM",6,"D6",18,6,8,9.63
7,"TORRE 226-1_D1SM",6,"D6",18,7,9,10.03
8,"TORRE 226-1_D1SM",6,"D6",18,8,9,11.12
9,"TORRE 226-1_D1SM",6,"D6",18,9,12,11.93
10,"TORRE 226-1_D1SM",6,"D6",18,10,14,13.02
11,"TORRE 226-1_D1SM",6,"D6",18,11,14,13.56
12,"TORRE 226-1_D1SM",6,"D6",18,12,16,13.83
13,"TORRE 226-1_D1SM",6,"D6",18,13,18,14.51
14,"TORRE 226-1_D1SM",6,"D6",18,13.08,18,14.91
1,"TORRE 226-1_D1SM",6,"D7",0,1,0,0
2,"TORRE 226-1_D1SM",6,"D7",0,2,3,6.64
3,"TORRE 226-1_D1SM",6,"D7",0,3,4,10.85
4,"TORRE 226-1_D1SM",6,"D7",0,4,5,11.39
5,"TORRE 226-1_D1SM",6,"D7",0,5,7,11.8
6,"TORRE 226-1_D1SM",6,"D7",0,6,8,12.2
7,"TORRE 226-1_D1SM",6,"D7",0,7,9,12.34
8,"TORRE 226-1_D1SM",6,"D7",0,8,9,13.42
9,"TORRE 226-1_D1SM",6,"D7",0,9,12,13.56
10,"TORRE 226-1_D1SM",6,"D7",0,10,14,13.69
11,"TORRE 226-1_D1SM",6,"D7",0,11,14,14.1
12,"TORRE 226-1_D1SM",6,"D7",0,12,16,15.86
13,"TORRE 226-1_D1SM",6,"D7",0,12.64,18,16.27
1,"TORRE 245-1_D1SE",6,"A1",5,1,0,0
2,"TORRE 245-1_D1SE",6,"A1",5,2,2,4.61
3,"TORRE 245-1_D1SE",6,"A1",5,3,4,6.64
4,"TORRE 245-1_D1SE",6,"A1",5,4,3,8
5,"TORRE 245-1_D1SE",6,"A1",5,5,4,9.36
6,"TORRE 245-1_D1SE",6,"A1",5,6,5,10.03
7,"TORRE 245-1_D1SE",6,"A1",5,7,5,11.8
8,"TORRE 245-1_D1SE",6,"A1",5,8,5,12.07
9,"TORRE 245-1_D1SE",6,"A1",5,9,12,13.02
10,"TORRE 245-1_D1SE",6,"A1",5,10,12,12.74
11,"TORRE 245-1_D1SE",6,"A1",5,11,11,15.73
12,"TORRE 245-1_D1SE",6,"A1",5,12,13,16.13
1,"TORRE 245-1_D1SE",6,"A2",23,1,0,0
2,"TORRE 245-1_D1SE",6,"A2",23,2,2,4.88
3,"TORRE 245-1_D1SE",6,"A2",23,3,4,6.64
4,"TORRE 245-1_D1SE",6,"A2",23,4,3,7.59
5,"TORRE 245-1_D1SE",6,"A2",23,5,4,9.36
6,"TORRE 245-1_D1SE",6,"A2",23,6,5,10.03
7,"TORRE 245-1_D1SE",6,"A2",23,7,5,10.03
8,"TORRE 245-1_D1SE",6,"A2",23,8,5,11.66
9,"TORRE 245-1_D1SE",6,"A2",23,9,12,12.07
10,"TORRE 245-1_D1SE",6,"A2",23,10,12,13.02
11,"TORRE 245-1_D1SE",6,"A2",23,11,11,12.74
12,"TORRE 245-1_D1SE",6,"A2",23,12,13,15.86
13,"TORRE 245-1_D1SE",6,"A2",23,13,13,16.27
1,"TORRE 245-1_D1SE",6,"A3",23,1,0,0
2,"TORRE 245-1_D1SE",6,"A3",23,2,2,4.88
3,"TORRE 245-1_D1SE",6,"A3",23,3,4,6.64
4,"TORRE 245-1_D1SE",6,"A3",23,4,3,8
5,"TORRE 245-1_D1SE",6,"A3",23,5,4,9.08
6,"TORRE 245-1_D1SE",6,"A3",23,6,5,10.03
7,"TORRE 245-1_D1SE",6,"A3",23,7,5,11.66
8,"TORRE 245-1_D1SE",6,"A3",23,8,5,11.8
9,"TORRE 245-1_D1SE",6,"A3",23,9,12,13.02
10,"TORRE 245-1_D1SE",6,"A3",23,10,12,12.74
11,"TORRE 245-1_D1SE",6,"A3",23,11,11,15.73
12,"TORRE 245-1_D1SE",6,"A3",23,12,13,16.13
1,"TORRE 245-1_D1SE",6,"A4",5,1,0,0
2,"TORRE 245-1_D1SE",6,"A4",5,2,2,3.25
3,"TORRE 245-1_D1SE",6,"A4",5,3,4,5.02
4,"TORRE 245-1_D1SE",6,"A4",5,4,3,6.24
5,"TORRE 245-1_D1SE",6,"A4",5,5,4,7.32
6,"TORRE 245-1_D1SE",6,"A4",5,6,5,8.54
7,"TORRE 245-1_D1SE",6,"A4",5,7,5,9.36
8,"TORRE 245-1_D1SE",6,"A4",5,8,5,10.03
9,"TORRE 245-1_D1SE",6,"A4",5,9,12,11.66
10,"TORRE 245-1_D1SE",6,"A4",5,10,12,13.02
11,"TORRE 245-1_D1SE",6,"A4",5,11,11,13.15
12,"TORRE 245-1_D1SE",6,"A4",5,12,13,16.13
13,"TORRE 245-1_D1SE",6,"A4",5,13,15,16.27
1,"TORRE 245-1_D1SE",6,"A5",5,1,0,0
2,"TORRE 245-1_D1SE",6,"A5",5,2,2,4.88
3,"TORRE 245-1_D1SE",6,"A5",5,3,4,6.64
4,"TORRE 245-1_D1SE",6,"A5",5,4,3,7.59
5,"TORRE 245-1_D1SE",6,"A5",5,5,4,9.36
6,"TORRE 245-1_D1SE",6,"A5",5,6,5,10.71
7,"TORRE 245-1_D1SE",6,"A5",5,7,5,10.71
8,"TORRE 245-1_D1SE",6,"A5",5,8,5,11.66
9,"TORRE 245-1_D1SE",6,"A5",5,9,12,12.07
10,"TORRE 245-1_D1SE",6,"A5",5,10,12,12.74
11,"TORRE 245-1_D1SE",6,"A5",5,11,11,12.88
12,"TORRE 245-1_D1SE",6,"A5",5,12,13,15.59
13,"TORRE 245-1_D1SE",6,"A5",5,13,15,15.73
1,"TORRE 245-1_D1SE",6,"A6",5,1,0,0
2,"TORRE 245-1_D1SE",6,"A6",5,2,2,3.93
3,"TORRE 245-1_D1SE",6,"A6",5,3,4,5.02
4,"TORRE 245-1_D1SE",6,"A6",5,4,3,6.24
5,"TORRE 245-1_D1SE",6,"A6",5,5,4,8
6,"TORRE 245-1_D1SE",6,"A6",5,6,5,9.36
7,"TORRE 245-1_D1SE",6,"A6",5,7,5,10.3
8,"TORRE 245-1_D1SE",6,"A6",5,8,5,10.58
9,"TORRE 245-1_D1SE",6,"A6",5,9,12,11.66
10,"TORRE 245-1_D1SE",6,"A6",5,10,12,12.07
11,"TORRE 245-1_D1SE",6,"A6",5,11,11,12.74
12,"TORRE 245-1_D1SE",6,"A6",5,12,13,15.73
13,"TORRE 245-1_D1SE",6,"A6",5,13,15,15.86
1,"TORRE 245-1_D1SE",6,"A7",20,1,0,0
2,"TORRE 245-1_D1SE",6,"A7",20,2,2,3.25
3,"TORRE 245-1_D1SE",6,"A7",20,3,4,4.88
4,"TORRE 245-1_D1SE",6,"A7",20,4,3,6.24
5,"TORRE 245-1_D1SE",6,"A7",20,5,4,7.32
6,"TORRE 245-1_D1SE",6,"A7",20,6,5,8.54
7,"TORRE 245-1_D1SE",6,"A7",20,7,5,10.03
8,"TORRE 245-1_D1SE",6,"A7",20,8,5,11.66
9,"TORRE 245-1_D1SE",6,"A7",20,9,12,12.07
10,"TORRE 245-1_D1SE",6,"A7",20,10,12,13.02
11,"TORRE 245-1_D1SE",6,"A7",20,11,11,13.15
12,"TORRE 245-1_D1SE",6,"A7",20,12,13,15.86
13,"TORRE 245-1_D1SE",6,"A7",20,13,15,16.27
1,"TORRE 245-1_D1SE",6,"A8",18,1,0,0
2,"TORRE 245-1_D1SE",6,"A8",18,2,2,3.25
3,"TORRE 245-1_D1SE",6,"A8",18,3,4,4.88
4,"TORRE 245-1_D1SE",6,"A8",18,4,3,6.24
5,"TORRE 245-1_D1SE",6,"A8",18,5,4,8
6,"TORRE 245-1_D1SE",6,"A8",18,6,5,8.68
7,"TORRE 245-1_D1SE",6,"A8",18,7,5,10.71
8,"TORRE 245-1_D1SE",6,"A8",18,8,5,11.66
9,"TORRE 245-1_D1SE",6,"A8",18,9,12,12.74
10,"TORRE 245-1_D1SE",6,"A8",18,10,12,15.73
11,"TORRE 245-1_D1SE",6,"A8",18,11,11,15.86
1,"TORRE 245-1_D1SE",6,"A9",20,1,0,0
2,"TORRE 245-1_D1SE",6,"A9",20,2,2,5.29
3,"TORRE 245-1_D1SE",6,"A9",20,3,4,6.24
4,"TORRE 245-1_D1SE",6,"A9",20,4,3,8
5,"TORRE 245-1_D1SE",6,"A9",20,5,4,8.68
6,"TORRE 245-1_D1SE",6,"A9",20,6,5,10.71
7,"TORRE 245-1_D1SE",6,"A9",20,7,5,11.66
8,"TORRE 245-1_D1SE",6,"A9",20,8,5,13.02
9,"TORRE 245-1_D1SE",6,"A9",20,9,12,13.15
10,"TORRE 245-1_D1SE",6,"A9",20,10,12,15.86
11,"TORRE 245-1_D1SE",6,"A9",20,11,11,16
1,"TORRE 245-1_D1SE",6,"B1",5,1,0,0
2,"TORRE 245-1_D1SE",6,"B1",5,2,2,3.53
3,"TORRE 245-1_D1SE",6,"B1",5,3,4,4.34
4,"TORRE 245-1_D1SE",6,"B1",5,4,3,6.24
5,"TORRE 245-1_D1SE",6,"B1",5,5,4,7.86
6,"TORRE 245-1_D1SE",6,"B1",5,6,5,8.54
7,"TORRE 245-1_D1SE",6,"B1",5,7,5,9.76
8,"TORRE 245-1_D1SE",6,"B1",5,8,5,11.66
9,"TORRE 245-1_D1SE",6,"B1",5,9,12,12.61
10,"TORRE 245-1_D1SE",6,"B1",5,10,12,14.1
11,"TORRE 245-1_D1SE",6,"B1",5,11,11,15.19
12,"TORRE 245-1_D1SE",6,"B1",5,12,13,15.32
13,"TORRE 245-1_D1SE",6,"B1",5,13,15,16.27
1,"TORRE 245-1_D1SE",6,"B2",23,1,0,0
2,"TORRE 245-1_D1SE",6,"B2",23,2,2,3.39
3,"TORRE 245-1_D1SE",6,"B2",23,3,4,4.47
4,"TORRE 245-1_D1SE",6,"B2",23,4,3,5.83
5,"TORRE 245-1_D1SE",6,"B2",23,5,4,7.59
6,"TORRE 245-1_D1SE",6,"B2",23,6,5,8.68
7,"TORRE 245-1_D1SE",6,"B2",23,7,5,10.58
8,"TORRE 245-1_D1SE",6,"B2",23,8,5,11.66
9,"TORRE 245-1_D1SE",6,"B2",23,9,12,12.07
10,"TORRE 245-1_D1SE",6,"B2",23,10,12,12.61
11,"TORRE 245-1_D1SE",6,"B2",23,11,11,14.1
12,"TORRE 245-1_D1SE",6,"B2",23,12,13,16
13,"TORRE 245-1_D1SE",6,"B2",23,13,13,16.81
1,"TORRE 245-1_D1SE",6,"B3",23,1,0,0
2,"TORRE 245-1_D1SE",6,"B3",23,2,2,3.8
3,"TORRE 245-1_D1SE",6,"B3",23,3,4,4.61
4,"TORRE 245-1_D1SE",6,"B3",23,4,3,5.69
5,"TORRE 245-1_D1SE",6,"B3",23,5,4,6.51
6,"TORRE 245-1_D1SE",6,"B3",23,6,5,8.54
7,"TORRE 245-1_D1SE",6,"B3",23,7,5,10.3
8,"TORRE 245-1_D1SE",6,"B3",23,8,5,11.39
9,"TORRE 245-1_D1SE",6,"B3",23,9,12,12.47
10,"TORRE 245-1_D1SE",6,"B3",23,10,12,14.1
11,"TORRE 245-1_D1SE",6,"B3",23,11,11,14.1
12,"TORRE 245-1_D1SE",6,"B3",23,12,13,16.13
13,"TORRE 245-1_D1SE",6,"B3",23,13,13,16.41
1,"TORRE 245-1_D1SE",6,"B4",5,1,0,0
2,"TORRE 245-1_D1SE",6,"B4",5,2,2,2.58
3,"TORRE 245-1_D1SE",6,"B4",5,3,4,3.53
4,"TORRE 245-1_D1SE",6,"B4",5,4,3,4.61
5,"TORRE 245-1_D1SE",6,"B4",5,5,4,6.24
6,"TORRE 245-1_D1SE",6,"B4",5,6,5,7.05
7,"TORRE 245-1_D1SE",6,"B4",5,7,5,8.54
8,"TORRE 245-1_D1SE",6,"B4",5,8,5,9.76
9,"TORRE 245-1_D1SE",6,"B4",5,9,12,11.66
10,"TORRE 245-1_D1SE",6,"B4",5,10,12,12.47
11,"TORRE 245-1_D1SE",6,"B4",5,11,11,14.1
12,"TORRE 245-1_D1SE",6,"B4",5,12,13,15.19
13,"TORRE 245-1_D1SE",6,"B4",5,13,15,16.68
1,"TORRE 245-1_D1SE",6,"B5",5,1,0,0
2,"TORRE 245-1_D1SE",6,"B5",5,2,2,2.44
3,"TORRE 245-1_D1SE",6,"B5",5,3,4,3.25
4,"TORRE 245-1_D1SE",6,"B5",5,4,3,4.34
5,"TORRE 245-1_D1SE",6,"B5",5,5,4,5.69
6,"TORRE 245-1_D1SE",6,"B5",5,6,5,7.05
7,"TORRE 245-1_D1SE",6,"B5",5,7,5,8.81
8,"TORRE 245-1_D1SE",6,"B5",5,8,5,9.76
9,"TORRE 245-1_D1SE",6,"B5",5,9,12,11.25
10,"TORRE 245-1_D1SE",6,"B5",5,10,12,12.88
11,"TORRE 245-1_D1SE",6,"B5",5,11,11,14.24
12,"TORRE 245-1_D1SE",6,"B5",5,12,13,15.46
13,"TORRE 245-1_D1SE",6,"B5",5,13,15,16.81
1,"TORRE 245-1_D1SE",6,"B6",5,1,0,0
2,"TORRE 245-1_D1SE",6,"B6",5,2,2,2.58
3,"TORRE 245-1_D1SE",6,"B6",5,3,4,2.98
4,"TORRE 245-1_D1SE",6,"B6",5,4,3,4.61
5,"TORRE 245-1_D1SE",6,"B6",5,5,4,7.59
6,"TORRE 245-1_D1SE",6,"B6",5,6,5,8.41
7,"TORRE 245-1_D1SE",6,"B6",5,7,5,9.22
8,"TORRE 245-1_D1SE",6,"B6",5,8,5,10.03
9,"TORRE 245-1_D1SE",6,"B6",5,9,12,11.66
10,"TORRE 245-1_D1SE",6,"B6",5,10,12,12.61
11,"TORRE 245-1_D1SE",6,"B6",5,11,11,14.37
12,"TORRE 245-1_D1SE",6,"B6",5,12,13,15.19
13,"TORRE 245-1_D1SE",6,"B6",5,13,15,16.68
1,"TORRE 245-1_D1SE",6,"B7",20,1,0,0
2,"TORRE 245-1_D1SE",6,"B7",20,2,2,2.3
3,"TORRE 245-1_D1SE",6,"B7",20,3,4,3.12
4,"TORRE 245-1_D1SE",6,"B7",20,4,3,4.88
5,"TORRE 245-1_D1SE",6,"B7",20,5,4,5.69
6,"TORRE 245-1_D1SE",6,"B7",20,6,5,6.91
7,"TORRE 245-1_D1SE",6,"B7",20,7,5,8.68
8,"TORRE 245-1_D1SE",6,"B7",20,8,5,9.9
9,"TORRE 245-1_D1SE",6,"B7",20,9,12,11.52
10,"TORRE 245-1_D1SE",6,"B7",20,10,12,12.61
11,"TORRE 245-1_D1SE",6,"B7",20,11,11,14.1
12,"TORRE 245-1_D1SE",6,"B7",20,12,13,15.59
13,"TORRE 245-1_D1SE",6,"B7",20,13,15,16.54
1,"TORRE 245-1_D1SE",6,"B8",18,1,0,0
2,"TORRE 245-1_D1SE",6,"B8",18,2,2,2.44
3,"TORRE 245-1_D1SE",6,"B8",18,3,4,3.53
4,"TORRE 245-1_D1SE",6,"B8",18,4,3,4.61
5,"TORRE 245-1_D1SE",6,"B8",18,5,4,5.56
6,"TORRE 245-1_D1SE",6,"B8",18,6,5,7.05
7,"TORRE 245-1_D1SE",6,"B8",18,7,5,8.68
8,"TORRE 245-1_D1SE",6,"B8",18,8,5,10.17
9,"TORRE 245-1_D1SE",6,"B8",18,9,12,11.66
10,"TORRE 245-1_D1SE",6,"B8",18,10,12,12.88
11,"TORRE 245-1_D1SE",6,"B8",18,11,11,14.24
12,"TORRE 245-1_D1SE",6,"B8",18,12,13,15.32
13,"TORRE 245-1_D1SE",6,"B8",18,13,15,16.41
1,"TORRE 245-1_D1SE",6,"B9",20,1,0,0
2,"TORRE 245-1_D1SE",6,"B9",20,2,2,2.58
3,"TORRE 245-1_D1SE",6,"B9",20,3,4,3.12
4,"TORRE 245-1_D1SE",6,"B9",20,4,3,4.47
5,"TORRE 245-1_D1SE",6,"B9",20,5,4,5.69
6,"TORRE 245-1_D1SE",6,"B9",20,6,5,7.73
7,"TORRE 245-1_D1SE",6,"B9",20,7,5,8.81
8,"TORRE 245-1_D1SE",6,"B9",20,8,5,9.76
9,"TORRE 245-1_D1SE",6,"B9",20,9,12,11.25
10,"TORRE 245-1_D1SE",6,"B9",20,10,12,12.61
11,"TORRE 245-1_D1SE",6,"B9",20,11,11,14.1
12,"TORRE 245-1_D1SE",6,"B9",20,12,13,15.19
13,"TORRE 245-1_D1SE",6,"B9",20,13,15,16.13
1,"TORRE 245-1_D1SE",6,"C1",5,1,0,0
2,"TORRE 245-1_D1SE",6,"C1",5,2,2,8.68
3,"TORRE 245-1_D1SE",6,"C1",5,3,4,6.37
4,"TORRE 245-1_D1SE",6,"C1",5,4,3,7.59
5,"TORRE 245-1_D1SE",6,"C1",5,5,4,8.68
6,"TORRE 245-1_D1SE",6,"C1",5,6,5,10.71
7,"TORRE 245-1_D1SE",6,"C1",5,7,5,12.07
8,"TORRE 245-1_D1SE",6,"C1",5,8,5,12.61
9,"TORRE 245-1_D1SE",6,"C1",5,9,12,12.74
10,"TORRE 245-1_D1SE",6,"C1",5,10,12,15.73
11,"TORRE 245-1_D1SE",6,"C1",5,11,11,15.86
1,"TORRE 245-1_D1SE",6,"C2",23,1,0,0
2,"TORRE 245-1_D1SE",6,"C2",23,2,2,3.53
3,"TORRE 245-1_D1SE",6,"C2",23,3,4,4.61
4,"TORRE 245-1_D1SE",6,"C2",23,4,3,6.24
5,"TORRE 245-1_D1SE",6,"C2",23,5,4,8
6,"TORRE 245-1_D1SE",6,"C2",23,6,5,8.68
7,"TORRE 245-1_D1SE",6,"C2",23,7,5,10.44
8,"TORRE 245-1_D1SE",6,"C2",23,8,5,10.71
9,"TORRE 245-1_D1SE",6,"C2",23,9,12,11.39
10,"TORRE 245-1_D1SE",6,"C2",23,10,12,11.66
11,"TORRE 245-1_D1SE",6,"C2",23,11,11,12.74
12,"TORRE 245-1_D1SE",6,"C2",23,12,13,13.02
13,"TORRE 245-1_D1SE",6,"C2",23,13,13,16
14,"TORRE 245-1_D1SE",6,"C2",23,14,15,16.27
1,"TORRE 245-1_D1SE",6,"C3",23,1,0,0
2,"TORRE 245-1_D1SE",6,"C3",23,2,2,3.93
3,"TORRE 245-1_D1SE",6,"C3",23,3,4,6.37
4,"TORRE 245-1_D1SE",6,"C3",23,4,3,7.32
5,"TORRE 245-1_D1SE",6,"C3",23,5,4,8.54
6,"TORRE 245-1_D1SE",6,"C3",23,6,5,8.95
7,"TORRE 245-1_D1SE",6,"C3",23,7,5,10.71
8,"TORRE 245-1_D1SE",6,"C3",23,8,5,11.66
9,"TORRE 245-1_D1SE",6,"C3",23,9,12,13.15
10,"TORRE 245-1_D1SE",6,"C3",23,10,12,15.46
11,"TORRE 245-1_D1SE",6,"C3",23,11,11,15.86
1,"TORRE 245-1_D1SE",6,"C4",5,1,0,0
2,"TORRE 245-1_D1SE",6,"C4",5,2,2,3.25
3,"TORRE 245-1_D1SE",6,"C4",5,3,4,5.02
4,"TORRE 245-1_D1SE",6,"C4",5,4,3,6.37
5,"TORRE 245-1_D1SE",6,"C4",5,5,4,7.19
6,"TORRE 245-1_D1SE",6,"C4",5,6,5,7.32
7,"TORRE 245-1_D1SE",6,"C4",5,7,5,8.95
8,"TORRE 245-1_D1SE",6,"C4",5,8,5,9.08
9,"TORRE 245-1_D1SE",6,"C4",5,9,12,9.9
10,"TORRE 245-1_D1SE",6,"C4",5,10,12,10.03
11,"TORRE 245-1_D1SE",6,"C4",5,11,11,11.39
12,"TORRE 245-1_D1SE",6,"C4",5,12,13,11.66
13,"TORRE 245-1_D1SE",6,"C4",5,13,15,13.42
14,"TORRE 245-1_D1SE",6,"C4",5,14,15,15.86
15,"TORRE 245-1_D1SE",6,"C4",5,15,16,16.13
1,"TORRE 245-1_D1SE",6,"C5",5,1,0,0
2,"TORRE 245-1_D1SE",6,"C5",5,2,2,3.39
3,"TORRE 245-1_D1SE",6,"C5",5,3,4,4.88
4,"TORRE 245-1_D1SE",6,"C5",5,4,3,5.83
5,"TORRE 245-1_D1SE",6,"C5",5,5,4,7.32
6,"TORRE 245-1_D1SE",6,"C5",5,6,5,8.54
7,"TORRE 245-1_D1SE",6,"C5",5,7,5,8.68
8,"TORRE 245-1_D1SE",6,"C5",5,8,5,10.3
9,"TORRE 245-1_D1SE",6,"C5",5,9,12,11.66
10,"TORRE 245-1_D1SE",6,"C5",5,10,12,11.8
11,"TORRE 245-1_D1SE",6,"C5",5,11,11,12.61
12,"TORRE 245-1_D1SE",6,"C5",5,12,13,12.74
13,"TORRE 245-1_D1SE",6,"C5",5,13,15,16.13
14,"TORRE 245-1_D1SE",6,"C5",5,14,15,16.27
1,"TORRE 245-1_D1SE",6,"C6",5,1,0,0
2,"TORRE 245-1_D1SE",6,"C6",5,2,2,3.12
3,"TORRE 245-1_D1SE",6,"C6",5,3,4,6.24
4,"TORRE 245-1_D1SE",6,"C6",5,4,3,8
5,"TORRE 245-1_D1SE",6,"C6",5,5,4,8.54
6,"TORRE 245-1_D1SE",6,"C6",5,6,5,8.68
7,"TORRE 245-1_D1SE",6,"C6",5,7,5,9.9
8,"TORRE 245-1_D1SE",6,"C6",5,8,5,10.03
9,"TORRE 245-1_D1SE",6,"C6",5,9,12,11.52
10,"TORRE 245-1_D1SE",6,"C6",5,10,12,11.66
11,"TORRE 245-1_D1SE",6,"C6",5,11,11,12.74
12,"TORRE 245-1_D1SE",6,"C6",5,12,13,13.02
13,"TORRE 245-1_D1SE",6,"C6",5,13,15,16
14,"TORRE 245-1_D1SE",6,"C6",5,14,15,16.13
1,"TORRE 245-1_D1SE",6,"C7",20,1,0,0
2,"TORRE 245-1_D1SE",6,"C7",20,2,2,3.93
3,"TORRE 245-1_D1SE",6,"C7",20,3,4,6.24
4,"TORRE 245-1_D1SE",6,"C7",20,4,3,8
5,"TORRE 245-1_D1SE",6,"C7",20,5,4,8.68
6,"TORRE 245-1_D1SE",6,"C7",20,6,5,9.9
7,"TORRE 245-1_D1SE",6,"C7",20,7,5,10.03
8,"TORRE 245-1_D1SE",6,"C7",20,8,5,11.66
9,"TORRE 245-1_D1SE",6,"C7",20,9,12,12.07
10,"TORRE 245-1_D1SE",6,"C7",20,10,12,13.02
11,"TORRE 245-1_D1SE",6,"C7",20,11,11,13.15
12,"TORRE 245-1_D1SE",6,"C7",20,12,13,15.46
13,"TORRE 245-1_D1SE",6,"C7",20,13,15,15.73
1,"TORRE 245-1_D1SE",6,"C8",18,1,0,0
2,"TORRE 245-1_D1SE",6,"C8",18,2,2,3.12
3,"TORRE 245-1_D1SE",6,"C8",18,3,4,5.29
4,"TORRE 245-1_D1SE",6,"C8",18,4,3,6.24
5,"TORRE 245-1_D1SE",6,"C8",18,5,4,8
6,"TORRE 245-1_D1SE",6,"C8",18,6,5,8.95
7,"TORRE 245-1_D1SE",6,"C8",18,7,5,10.71
8,"TORRE 245-1_D1SE",6,"C8",18,8,5,11.39
9,"TORRE 245-1_D1SE",6,"C8",18,9,12,11.66
10,"TORRE 245-1_D1SE",6,"C8",18,10,12,12.74
11,"TORRE 245-1_D1SE",6,"C8",18,11,11,13.15
12,"TORRE 245-1_D1SE",6,"C8",18,12,13,16
13,"TORRE 245-1_D1SE",6,"C8",18,13,15,16.27
1,"TORRE 245-1_D1SE",6,"C9",20,1,0,0
2,"TORRE 245-1_D1SE",6,"C9",20,2,2,5.29
3,"TORRE 245-1_D1SE",6,"C9",20,3,4,6.24
4,"TORRE 245-1_D1SE",6,"C9",20,4,3,8
5,"TORRE 245-1_D1SE",6,"C9",20,5,4,8.68
6,"TORRE 245-1_D1SE",6,"C9",20,6,5,10.71
7,"TORRE 245-1_D1SE",6,"C9",20,7,5,11.66
8,"TORRE 245-1_D1SE",6,"C9",20,8,5,13.02
9,"TORRE 245-1_D1SE",6,"C9",20,9,12,13.15
10,"TORRE 245-1_D1SE",6,"C9",20,10,12,15.86
11,"TORRE 245-1_D1SE",6,"C9",20,11,11,16
1,"TORRE 245-1_D1SE",6,"D1",5,1,0,0
2,"TORRE 245-1_D1SE",6,"D1",5,2,2,2.44
3,"TORRE 245-1_D1SE",6,"D1",5,3,4,3.53
4,"TORRE 245-1_D1SE",6,"D1",5,4,3,4.61
5,"TORRE 245-1_D1SE",6,"D1",5,5,4,5.83
6,"TORRE 245-1_D1SE",6,"D1",5,6,5,7.05
7,"TORRE 245-1_D1SE",6,"D1",5,7,5,8.68
8,"TORRE 245-1_D1SE",6,"D1",5,8,5,9.9
9,"TORRE 245-1_D1SE",6,"D1",5,9,12,12.07
10,"TORRE 245-1_D1SE",6,"D1",5,10,12,12.74
11,"TORRE 245-1_D1SE",6,"D1",5,11,11,14.37
12,"TORRE 245-1_D1SE",6,"D1",5,12,13,15.32
13,"TORRE 245-1_D1SE",6,"D1",5,13,15,16.81
1,"TORRE 245-1_D1SE",6,"D2",23,1,0,0
2,"TORRE 245-1_D1SE",6,"D2",23,2,2,2.58
3,"TORRE 245-1_D1SE",6,"D2",23,3,4,2.98
4,"TORRE 245-1_D1SE",6,"D2",23,4,3,4.34
5,"TORRE 245-1_D1SE",6,"D2",23,5,4,5.97
6,"TORRE 245-1_D1SE",6,"D2",23,6,5,7.59
7,"TORRE 245-1_D1SE",6,"D2",23,7,5,8.41
8,"TORRE 245-1_D1SE",6,"D2",23,8,5,9.76
9,"TORRE 245-1_D1SE",6,"D2",23,9,12,11.66
10,"TORRE 245-1_D1SE",6,"D2",23,10,12,12.74
11,"TORRE 245-1_D1SE",6,"D2",23,11,11,13.83
12,"TORRE 245-1_D1SE",6,"D2",23,12,13,15.19
13,"TORRE 245-1_D1SE",6,"D2",23,13,13,16.54
1,"TORRE 245-1_D1SE",6,"D3",23,1,0,0
2,"TORRE 245-1_D1SE",6,"D3",23,2,2,2.44
3,"TORRE 245-1_D1SE",6,"D3",23,3,4,3.53
4,"TORRE 245-1_D1SE",6,"D3",23,4,3,4.88
5,"TORRE 245-1_D1SE",6,"D3",23,5,4,6.1
6,"TORRE 245-1_D1SE",6,"D3",23,6,5,7.19
7,"TORRE 245-1_D1SE",6,"D3",23,7,5,8.68
8,"TORRE 245-1_D1SE",6,"D3",23,8,5,9.9
9,"TORRE 245-1_D1SE",6,"D3",23,9,12,11.39
10,"TORRE 245-1_D1SE",6,"D3",23,10,12,12.47
11,"TORRE 245-1_D1SE",6,"D3",23,11,11,13.96
12,"TORRE 245-1_D1SE",6,"D3",23,12,13,15.46
13,"TORRE 245-1_D1SE",6,"D3",23,13,13,16.41
1,"TORRE 245-1_D1SE",6,"D4",5,1,0,0
2,"TORRE 245-1_D1SE",6,"D4",5,2,2,2.58
3,"TORRE 245-1_D1SE",6,"D4",5,3,4,3.12
4,"TORRE 245-1_D1SE",6,"D4",5,4,3,4.34
5,"TORRE 245-1_D1SE",6,"D4",5,5,4,5.83
6,"TORRE 245-1_D1SE",6,"D4",5,6,5,7.59
7,"TORRE 245-1_D1SE",6,"D4",5,7,5,8.68
8,"TORRE 245-1_D1SE",6,"D4",5,8,5,9.76
9,"TORRE 245-1_D1SE",6,"D4",5,9,12,11.25
10,"TORRE 245-1_D1SE",6,"D4",5,10,12,12.34
11,"TORRE 245-1_D1SE",6,"D4",5,11,11,14.1
12,"TORRE 245-1_D1SE",6,"D4",5,12,13,15.32
13,"TORRE 245-1_D1SE",6,"D4",5,13,15,16.68
1,"TORRE 245-1_D1SE",6,"D5",5,1,0,0
